date,rolling_corr,epu_index
2025-05-27,-0.6870796722537473,409.58
2025-05-28,-0.6803430710065587,282.29
2025-05-29,-0.680131644612744,340.04
2025-06-16,-0.6646371742233933,340.61
2025-05-22,-0.6396779844987045,283.69
2025-06-06,-0.6350481404406816,351.94
2025-06-09,-0.627930285698631,328.87
2025-06-10,-0.6268168185807195,273.63
2025-06-13,-0.6262337279830811,270.05
2025-06-17,-0.6257899242220243,445.72
