date,epu_index,GC=F,^NDX,gold_ret,nas_ret,epu_diff,rolling_corr
2020-01-03,108.1,1549.199951171875,8793.900390625,0.016072149694003442,-0.00886667231125206,-31.03,NA
2020-01-06,147.96,1566.199951171875,8848.51953125,0.010913635018349008,0.00619181669731382,39.860000000000014,NA
2020-01-07,103.98,1571.800048828125,8846.4501953125,0.0035692183565126895,-2.3388974142493223e-4,-43.980000000000004,NA
2020-01-08,91.15,1557.4000244140625,8912.3701171875,-0.009203710678121977,0.007423941847370209,-12.829999999999998,NA
2020-01-09,71.92,1551.699951171875,8989.6298828125,-0.0036667071971181846,0.008631465232141295,-19.230000000000004,NA
2020-01-10,74.58,1557.5,8966.6396484375,0.0037308990396736773,-0.0025606930100397444,2.6599999999999966,NA
2020-01-13,124.82,1548.4000244140625,9070.650390625,-0.00585981619083129,0.011532984703334631,50.239999999999995,NA
2020-01-14,109.27,1542.4000244140625,9033.419921875,-0.003882494785876494,-0.004112944834047426,-15.549999999999997,NA
2020-01-15,98.77,1552.0999755859375,9035.669921875,0.006269176242541576,2.490440892248931e-4,-10.5,NA
2020-01-16,88.05,1549,9125,-0.001999275510573253,0.009837830760307946,-10.719999999999999,NA
2020-01-17,77.76,1558.800048828125,9173.73046875,0.006306764371860662,0.00532611636966041,-10.289999999999992,NA
2020-01-21,87.56,1556.4000244140625,9166.6298828125,-0.0015408479920918832,-7.743126259418912e-4,9.799999999999997,NA
2020-01-22,77.19,1555.300048828125,9188.580078125,-7.069933514569245e-4,0.002391713940911429,-10.370000000000005,NA
2020-01-23,70.67,1564.5999755859375,9216.98046875,0.00596170020177131,0.003086068809769341,-6.519999999999996,NA
2020-01-24,48.48,1571.0999755859375,9141.4697265625,0.004145810767128866,-0.008226311830814959,-22.190000000000005,NA
2020-01-27,22.25,1576.800048828125,8952.1796875,0.0036215123910229036,-0.020924130993756476,-26.229999999999997,NA
2020-01-28,94.68,1569.199951171875,9090.9296875,-0.004831603586278797,0.015380135673771141,72.43,NA
2020-01-29,88.62,1569.800048828125,9101.6103515625,3.823495785668443e-4,0.001174180764938511,-6.060000000000002,NA
2020-01-30,142.05,1583.5,9136.08984375,0.00868933318130266,0.003781127323890836,53.43000000000001,NA
2020-01-31,122.2,1582.9000244140625,8991.509765625,-3.78963863372795e-4,-0.01595171418325791,-19.85000000000001,NA
2020-02-03,124.15,1577.199951171875,9126.23046875,-0.0036075310705902057,0.014871963550350635,1.9500000000000028,NA
2020-02-04,111.96,1550.4000244140625,9334.0595703125,-0.017138114161285474,0.02251729331680165,-12.190000000000012,NA
2020-02-05,84.94,1557.800048828125,9367.48046875,0.004761622946685296,0.0035741370973193234,-27.019999999999996,NA
2020-02-06,81.75,1565.0999755859375,9445.919921875,0.0046751032672821095,0.008338727291788117,-3.1899999999999977,NA
2020-02-07,130.27,1568.5999755859375,9401.099609375,0.002233782116915276,-0.004756231818876643,48.52000000000001,NA
2020-02-10,111.39,1574.699951171875,9516.83984375,0.0038812607041441385,0.012236182354914147,-18.88000000000001,NA
2020-02-11,152.71,1565.5999755859375,9517.8603515625,-0.005795625430667941,1.0722604538106526e-4,41.32000000000001,NA
2020-02-12,79.26,1567.4000244140625,9613.2001953125,0.0011490897071122928,0.00996710378864635,-73.45,NA
2020-02-13,82.23,1575.0999755859375,9595.7001953125,0.004900535612764321,-0.0018220725273928081,2.969999999999999,NA
2020-02-14,71.98,1582.699951171875,9623.580078125,0.004813471680398959,0.002901243123753793,-10.25,-0.4554442660766767
2020-02-18,77.38,1600,9629.7998046875,0.010871410739791924,6.460919398795108e-4,5.3999999999999915,-0.39804988752321524
2020-02-19,56.47,1607.5,9718.73046875,0.004676547883901803,0.009192562850895408,-20.909999999999997,-0.41769276269159367
2020-02-20,103.7,1616.5999755859375,9627.830078125,0.005644986085864686,-0.009397128685980482,47.230000000000004,-0.43406025999467707
2020-02-21,106.59,1644.5999755859375,9446.6904296875,0.01717201549417072,-0.018993409961266493,2.8900000000000006,-0.5314795443810346
2020-02-24,88.73,1672.4000244140625,9079.6298828125,0.01676255638881947,-0.039631031106312754,-17.86,-0.6220890553269849
2020-02-25,147.84,1646.9000244140625,8834.8701171875,-0.015364987376213718,-0.027327025254886676,59.11,-0.35539458638640425
2020-02-26,97.49,1640,8873.759765625,-0.004198505886171601,0.004392176155227155,-50.35000000000001,-0.34001407882500523
2020-02-27,106.55,1640,8436.669921875,0,-0.05051090914854129,9.060000000000002,-0.2596062784979005
2020-02-28,172.45,1564.0999755859375,8461.830078125,-0.047385678747064744,0.0029777997860007317,65.89999999999999,-0.21375039222388173
2020-03-02,153.53,1592.300048828125,8877.98046875,0.017868979456354687,0.04800863493342074,-18.919999999999987,-0.04260615025671986
2020-03-03,132.55,1642.0999755859375,8594.490234375,0.030796353102671873,-0.032452778927889295,-20.97999999999999,-0.1654139356043971
2020-03-04,197.2,1641.0999755859375,8949.2802734375,-6.091618212690988e-4,0.04045178515653799,64.64999999999998,-0.1656070875597225
2020-03-05,118.02,1666.4000244140625,8671.66015625,0.01529889178860684,-0.031512857372407464,-79.17999999999999,-0.2039832005628129
2020-03-06,132.5,1670.800048828125,8530.33984375,0.002636957249874577,-0.01643105359278734,14.480000000000004,-0.20597649957222802
2020-03-09,276.24,1674.5,7948.02978515625,0.0022120303868409007,-0.07070512952644956,143.74,-0.178144860965105
2020-03-10,296.12,1659.0999755859375,8372.26953125,-0.009239341300194449,0.052000926247806334,19.879999999999995,-0.21989324828100376
2020-03-11,234.73,1641.4000244140625,8006.1201171875,-0.010725720864527515,-0.04471873457993497,-61.390000000000015,-0.1533232076734455
2020-03-12,187.08,1589.300048828125,7263.64990234375,-0.03225585264372553,-0.097323819979458,-47.64999999999998,0.09622056779504896
2020-03-13,330.85,1515.699951171875,7995.259765625,-0.047416352203101815,0.09596639289383774,143.77,-0.18701774996257256
2020-03-16,323.71,1485.9000244140625,7020.3798828125,-0.019856680529920206,-0.13003150583375683,-7.140000000000043,-0.05637994129687499
2020-03-17,378.92,1524.9000244140625,7473.9501953125,0.02590818443844778,0.06260633638082741,55.210000000000036,0.02926157364827082
2020-03-18,455.45,1477.300048828125,7175.18017578125,-0.03171271975140128,-0.04079579437763642,76.52999999999997,0.08725400852675629
2020-03-19,514.67,1478.5999755859375,7288.52001953125,8.795472315558977e-4,0.015672637319200763,59.21999999999997,0.0864399776029152
2020-03-20,633.51,1484,6994.2900390625,0.0036454671159334207,-0.041206402778156855,118.84000000000003,0.07468554301074355
2020-03-23,572.94,1567,7006.919921875,0.05442181862869502,0.0018041135406737106,-60.569999999999936,0.08751348197328146
2020-03-24,596.78,1660.199951171875,7553.830078125,0.05777508425392426,0.07515650872690635,23.839999999999918,0.21431011779189577
2020-03-25,449.86,1632.300048828125,7469.6201171875,-0.016947954536260905,-0.01121058635407137,-146.91999999999996,0.21609580182318505
2020-03-26,670.3,1650.0999755859375,7897.1298828125,0.010845784249569976,0.055655244096181396,220.43999999999994,0.22690997298870466
2020-03-27,557.18,1623.9000244140625,7588.3701171875,-0.016005198817997043,-0.0398825599593543,-113.12,0.238835029557299
2020-03-30,361.46,1622,7889.009765625,-0.0011707228298990415,0.03885379446196175,-195.71999999999997,0.23191222319271004
2020-03-31,516.55,1583.4000244140625,7813.5,-0.02408550651926629,-0.009617615119659308,155.08999999999997,0.2285507833619269
2020-04-01,474.81,1578.199951171875,7486.2900390625,-0.003289523008281446,-0.042779653942016646,-41.73999999999995,0.2275489786412273
2020-04-02,738.02,1625.699951171875,7635.66015625,0.0296535360572285,0.019756046476378936,263.21,0.24339093365837886
2020-04-03,540.5,1633.699951171875,7528.10986328125,0.00490888893936245,-0.014185403275586126,-197.51999999999998,0.24966473943881862
2020-04-06,605.38,1677,8081.66015625,0.02615913167880727,0.07095332018041661,64.88,0.30576160643301376
2020-04-07,468.08,1664.800048828125,8049.31005859375,-0.007301457414060284,-0.004010935559982652,-137.3,0.29887778156163947
2020-04-08,524.13,1665.4000244140625,8229.5400390625,3.6032405214913405e-4,0.02214374404897426,56.05000000000001,0.2988120414534595
2020-04-09,417.54,1736.199951171875,8238.5302734375,0.041633439372849586,0.0010918383389812729,-106.58999999999997,0.2920300758595184
2020-04-13,638.81,1744.800048828125,8332.740234375,0.004941175038212751,0.011370398653868354,221.26999999999992,0.31743102581699595
2020-04-14,441.32,1756.699951171875,8692.16015625,0.006797057351607868,0.04222912613972623,-197.48999999999995,0.3052360509266851
2020-04-15,455.68,1727.199951171875,8591.9599609375,-0.016935449293475353,-0.011594610216190971,14.360000000000014,0.34178314841481255
2020-04-16,505.52,1720.4000244140625,8757.830078125,-0.003944735829989091,0.01912128857122549,49.839999999999975,0.3439026069291202
2020-04-17,573.7,1689.199951171875,8832.41015625,-0.018301820946780283,0.008479761962230893,68.18000000000006,0.35216817504479037
2020-04-20,618.66,1701.5999755859375,8726.509765625,0.007313955384594793,-0.012062436090166967,44.95999999999992,0.3506504811091451
2020-04-21,599.13,1678.199951171875,8403,-0.013847209197883095,-0.03777670721299647,-19.529999999999973,0.37689757245319994
2020-04-22,511.42,1728.699951171875,8664.6396484375,0.029647891342731346,0.030661550332777173,-87.70999999999998,0.411334004448724
2020-04-23,505.54,1733.300048828125,8641.5,0.0026574814347122173,-0.0026741564204478016,-5.8799999999999955,0.403004952456949
2020-04-24,562.5,1723.5,8786.599609375,-0.005670027160958046,0.016651610368687557,56.95999999999998,0.3360349917994807
2020-04-27,642.66,1711.9000244140625,8837.66015625,-0.006753227914803885,0.005794364179334653,80.15999999999997,0.5659701588833521
2020-04-28,479.89,1710.5,8677.599609375,-8.181536244567528e-4,-0.01827720567788952,-162.76999999999998,0.5704633314095431
2020-04-29,439.11,1703.4000244140625,8982.759765625,-0.004159457378130776,0.034562210937609576,-40.77999999999997,0.5287791936677897
2020-04-30,440.07,1684.199951171875,9000.509765625,-0.011335623435517613,0.001974057691047341,0.9599999999999795,0.48415606679640655
2020-05-01,516.72,1694.5,8718.1796875,0.006097067443094948,-0.031870751661410957,76.65000000000003,0.47052710547752175
2020-05-04,449.38,1706.9000244140625,8834.1103515625,0.007291162026340241,0.013209940087473705,-67.34000000000003,0.4887321527167872
2020-05-05,807.66,1704.4000244140625,8930.6201171875,-0.001465717123550518,0.010865429708437948,358.28,0.5666396339509217
2020-05-06,498.71,1684.199951171875,8984.8603515625,-0.011922512345884834,0.0060551432259870735,-308.95,0.43431842425501455
2020-05-07,504.24,1721.800048828125,9101.8798828125,0.02207963897860998,0.012939994999143929,5.53000000000003,0.4193019045692201
2020-05-08,488.53,1709.9000244140625,9220.349609375,-0.006935380050009182,0.012931982720089951,-15.710000000000036,0.4003206342760536
2020-05-11,527.36,1695.300048828125,9298.919921875,-0.00857515842664911,0.008485300545019517,38.83000000000004,0.3542612453193114
