date,epu_index,GC=F,^NDX
2020-12-18,146.67,,
2020-12-21,246.79,,
2020-12-22,147.55,,
2020-12-23,291.07,,
2020-12-24,256.16,,
2020-12-28,217.47,,
2020-12-29,286.36,,
2020-12-30,368.46,,
2020-12-31,307.12,,
2021-01-04,233.3,,
2021-01-05,208.61,,
2021-01-06,139.81,,
2021-01-07,124.29,,
2021-01-08,104.8,,
2021-01-11,308.7,,
2021-01-12,229.15,,
2021-01-13,223.57,,
2021-01-14,157.94,,
2021-01-15,149.93,,
2021-01-19,170.18,,
2021-01-20,309.33,,
2021-01-21,280.95,,
2021-01-22,192,,
2021-01-25,241.85,,
2021-01-26,254.93,,
2021-01-27,251.13,,
2021-01-28,150,,
2021-01-29,248.96,,
2021-02-01,144.04,,
2021-02-02,282.75,,
2021-02-03,145.65,,
2021-02-04,129.36,,
2021-02-05,111.2,,
2021-02-08,232.61,,
2021-02-09,84.45,,
2021-02-10,113.01,,
2021-02-11,121.93,,
2021-02-12,211.29,,
2021-02-16,150.29,,
2021-02-17,84.88,,
2021-02-18,148.02,,
2021-02-19,106.51,,
2021-02-22,132.3,,
2021-02-23,145.25,,
2021-02-24,186.94,,
2021-02-25,124.74,,
2021-02-26,223.25,,
2021-03-01,257.79,,
2021-03-02,122,,
2021-03-03,103.44,,
2021-03-04,76.48,,
2021-03-05,231.03,,
2021-03-08,328.48,,
2021-03-09,167.78,,
2021-03-10,195.33,,
2021-03-11,275.24,,
2021-03-12,106.71,,
2021-03-15,206.85,,
2021-03-16,87.46,,
2021-03-17,187.89,,
2021-03-18,180.02,,
2021-03-19,211.66,,
2021-03-22,275.36,,
2021-03-23,193.53,,
2021-03-24,126.24,,
2021-03-25,142.05,,
2021-03-26,108.99,,
2021-03-29,177.66,,
2021-03-30,121.16,,
2021-03-31,136.03,,
2021-04-01,76.09,,
2021-04-05,181.6,,
2021-04-06,125.46,,
2021-04-07,205.44,,
2021-04-08,115.07,,
2021-04-09,115.04,,
2021-04-12,69.6,,
2021-04-13,112.82,,
2021-04-14,65.13,,
2021-04-15,111.93,,
2021-04-16,86.85,,
2021-04-19,92,,
2021-04-20,89.99,,
2021-04-21,100.71,,
2021-04-22,70.82,,
2021-04-23,102.84,,
2021-04-26,84.99,,
2021-04-27,165.42,,
2021-04-28,102.3,,
2021-04-29,153.32,,
2021-04-30,125.83,,
2021-05-03,297.27,,
2021-05-04,119.21,,
2021-05-05,176.89,,
2021-05-06,142.39,,
2021-05-07,170.41,,
2021-05-10,168.8,,
2021-05-11,175.89,,
2021-05-12,78.7,,
2021-05-13,94.65,,
